method,year,month,fleet,gender,Part,Nsamp,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w20,w19,w21
1,1949,1,2,0,0,129,5,15,22,14,13,15,12,11,7,7,3,1,0,1,0,1,0,1,1,0,0
1,1950,1,2,0,0,73,1,7,10,15,10,10,5,6,0,3,3,0,1,1,1,0,0,0,0,0,0
1,1951,1,2,0,0,104,5,4,12,18,15,13,12,7,8,5,3,1,0,0,0,1,0,0,0,0,0
1,1952,1,2,0,0,54,2,5,5,8,6,10,2,7,3,2,3,0,1,0,0,0,0,0,0,0,0
1,1953,1,2,0,0,56,1,2,11,6,11,8,3,4,4,2,2,2,0,0,0,0,0,0,0,0,0
1,1954,1,2,0,0,49,1,0,7,7,6,4,5,11,2,4,2,0,0,0,0,0,0,0,0,0,0
1,1955,1,2,0,0,61,1,7,9,11,12,6,6,3,0,0,3,2,1,0,0,0,0,0,0,0,0
1,1956,1,2,0,0,56,2,7,4,9,8,6,5,6,4,1,2,1,1,0,0,0,0,0,0,0,0
1,1957,1,2,0,0,53,3,7,5,7,2,10,1,6,4,5,0,1,1,0,0,0,0,1,0,0,0
1,1958,1,2,0,0,84,0,12,5,15,9,17,5,11,4,2,2,0,1,0,0,1,0,0,0,0,0
1,1959,1,2,0,0,68,1,12,8,16,7,5,3,7,2,3,1,0,2,0,1,0,0,0,0,0,0
1,1960,1,2,0,0,47,0,7,4,18,3,5,4,2,0,2,0,0,2,0,0,0,0,0,0,0,0
1,1961,1,2,0,0,25,1,2,1,7,3,6,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
1,1962,1,2,0,0,23,0,8,0,3,3,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1963,1,2,0,0,42,3,6,3,7,4,5,3,4,2,3,1,1,0,0,0,0,0,0,0,0,0
1,1964,1,2,0,0,50,3,6,2,8,1,17,2,4,1,1,0,1,2,1,0,0,0,0,0,0,1
1,1965,1,2,0,0,40,2,11,4,3,5,8,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1966,1,2,0,0,42,0,6,1,7,3,6,6,3,2,4,0,2,1,1,0,0,0,0,0,0,0
1,1967,1,2,0,0,60,2,9,2,5,3,11,2,12,4,6,1,1,1,0,0,1,0,0,0,0,0
1,1968,1,2,0,0,58,1,9,1,10,2,7,4,10,4,3,2,0,2,1,1,0,0,0,1,0,0
1,1969,1,2,0,0,64,1,3,6,5,5,8,5,8,6,6,2,5,2,1,1,0,0,0,0,0,0
1,1970,1,2,0,0,59,1,5,4,6,3,7,5,8,5,9,1,1,1,0,0,1,1,0,0,0,1
1,1971,1,2,0,0,102,0,6,6,20,6,23,11,4,6,9,3,2,0,0,1,2,0,0,1,1,1
1,1972,1,2,0,0,140,0,9,12,24,12,30,5,19,8,11,2,1,1,1,1,0,1,3,0,0,0
1,1973,1,2,0,0,120,0,5,12,15,18,22,11,14,3,8,3,4,0,2,1,0,0,0,1,1,0
1,1974,1,2,0,0,128,3,9,8,12,12,19,21,16,8,8,4,4,3,0,0,0,0,0,1,0,0
1,1975,1,2,0,0,146,8,16,10,17,17,23,8,12,6,7,6,5,3,2,2,0,0,3,0,0,1
1,1976,1,2,0,0,157,7,13,16,24,15,11,23,16,10,9,1,5,1,1,2,2,0,0,1,0,0
1,1977,1,2,0,0,174,11,21,14,14,15,17,23,12,14,12,6,4,6,1,2,1,1,0,0,0,0
1,1978,1,2,0,0,164,20,15,16,11,20,18,14,16,7,8,5,4,5,1,1,1,1,1,0,0,0
1,1979,1,2,0,0,189,12,18,19,20,26,18,15,21,8,15,5,4,3,1,2,0,0,1,1,0,0
1,1980,1,2,0,0,220,12,21,23,24,21,25,29,19,12,13,8,7,1,2,1,1,0,1,0,0,0
1,1981,1,2,0,0,279,27,37,40,28,26,21,23,22,16,17,6,9,3,1,1,0,0,1,1,0,0
1,1982,1,2,0,0,351,23,37,49,30,31,42,34,33,15,23,10,7,7,2,4,1,1,1,0,0,1
1,1983,1,2,0,0,378,40,37,40,43,35,29,28,28,27,19,17,11,7,6,1,3,3,1,1,0,2
1,1984,1,2,0,0,492,24,88,51,63,34,50,21,39,24,38,15,19,7,10,3,3,1,0,1,0,1
1,1985,1,2,0,0,541,43,95,39,48,33,56,33,36,29,46,24,27,9,5,6,2,3,2,3,1,1
1,1986,1,2,0,0,514,57,89,80,46,37,35,50,36,25,23,11,7,6,6,1,1,1,2,1,0,0
1,1987,1,2,0,0,366,29,52,51,42,32,28,27,30,17,26,9,11,3,5,3,0,0,1,0,0,0
1,1988,1,2,0,0,533,45,71,77,68,33,39,42,29,32,25,28,15,14,6,1,5,2,1,0,0,0
1,1989,1,2,0,0,599,24,64,90,75,61,51,32,42,38,29,26,31,13,8,7,2,0,0,2,4,0
